NOMBRE,CIUDAD O MUNICIPIO,DEPARTAMENTO,DIRECCION,NECESIDAD,HORARIO ABRE,HORARIO CIERRE,TODOS LOS DIAS O LV,REQUIERE VOLUNTARIOS,CONTACTO,TELEFONO,ULTIMA REVISION,TIPO DE LUGAR
122 PLAZA APARTAHOTEL,Bogotá,Bogotá D.C.,Carrera 15 a # 122-27,Reciben 24h · Agua · leche de fórmula para bebés · Granos · Desechables · Compotas no de vidrio · Pañales para niños · Pañales para adultos · Shampoo · Deshodorabte · Harinas · Pasta · Enlatados ·…,9:00 am,9:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
AFNEMO,Bogotá,Bogotá D.C.,Carrera 11 # 18a-28 Sur. B. Ciudad Jardín Bogotá Reserva,SIN DATO,SIN DATO,Desde las 3pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
ALCALDÍA LOCAL CHAPINERO,Bogotá,Bogotá D.C.,Kr 13 #54-74,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
ALQUERÍA CENTRO DE ACOPIO TROPICANA,Bogotá,Bogotá D.C.,Calle 38a sur #52-37,SIN DATO,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,3203112774,agosto 14,SIN DATO
Ávila Gourmet - CEDRITOS,Bogotá,Bogotá D.C.,CR 17 # 141 - 05,SIN DATO,9:00 am,4:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
C.C GRAN PLAZA - BOSA,Bogotá,Bogotá D.C.,Cl. 65 Sur #78H -51,SIN DATO,SIN DATO,hasta las 8:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CENTRO COMERCIAL
C.C MULTIPLAZA,Bogotá,Bogotá D.C.,Calle 19A # 72-57,2:00 p.m. a 9:00 p.m. · aceite · sal · azúcar · panela o café · chocolate · shampoo · jabón · pañales adulto y bebé · leche en polvo · medicinas · analgésicos · antigripales · diabéticos · comida…,2:00 pm,9:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CENTRO COMERCIAL
C.C NUESTRO BOGOTÁ,Bogotá,Bogotá D.C.,CARRERA 86 #55A-75,Objetivo: Ítems de *mayor necesidad ahora mismo SOBRE TODO MEDICINAS Y KITS DE HABITAT:,2:00 pm,7:00 pm,SIN DATO,NO,SIN DATO,3218686079,agosto 14,CENTRO COMERCIAL
Calle 116#71A 49,Bogotá,Bogotá D.C.,Calle 116#71A 49,"Alimentos no perecederos, elementos de construcción, medicamentos, cobijas, colchones, agua",SIN DATO,hasta las 9:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
Calle 94a # 11-27 OF 204,Bogotá,Bogotá D.C.,Calle 94a # 11-27 OF 204,"Alimentos no perecederos, elementos de construcción, medicamentos, cobijas, colchones",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
CAMIÓN CRA 14#83,Bogotá,Bogotá D.C.,CRA 14#83-53,SIN DATO,3:00 pm,9:00 pm,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,SIN DATO
