NOMBRE,CIUDAD O MUNICIPIO,DEPARTAMENTO,DIRECCION NO SITIOS,NECESIDAD,HORARIO ABRE,HORARIO CIERRE,TODOS LOS DIAS O LV,REQUIERE VOLUNTARIOS,CONTACTO,TELEFONO,ULTIMA REVISION,TIPO DE LUGAR,LATITUD,LONGITUD
MUJERES X LA DEMOCRACIA,Bogotá,Bogotá D.C.,Carrera 15 # 82 - 81 Edificio Alianza,UTENSILIOS DE COCINA,8:00,18:00,TODOS LOS DIAS,NO,LAURA HERRERA,3176793111,agosto 14,FUNDACION PRIVADA,4.668272,-74.056012
Cruz Roja - Samu Sur,Bogotá,Bogotá D.C.,Avenida Carrera 68 #31-41 sur,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CRUZ ROJA,,
Cruz Roja - Samu Norte,Bogotá,Bogotá D.C.,Calle 134 - Carrera 7B Bis #132-31,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CRUZ ROJA,,
Cruz Roja - Centro de Salvamento Acuático,Bogotá,Bogotá D.C.,Avenida La Esmeralda #63-81,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CRUZ ROJA,,
Cruz Roja - Sede administrativa,Bogotá,Bogotá D.C.,Carrera 24 #73-38,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CRUZ ROJA,4.664137,-74.06628
Cruz Roja - Bodega,Bogotá,Bogotá D.C.,Diagonal 79B #62-53,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CRUZ ROJA,4.679696,-74.077273
Cruz Roja - Palacio de los Deportes,Bogotá,Bogotá D.C.,Calle 63 #59A-06,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,CRUZ ROJA,4.656045,-74.086044
Fundación Universitaria Juan N. Corpas,Bogotá,Bogotá D.C.,Carrera 111 No. 159A-61,"Alimentos no perecederos, aseo, colchonetas",8:00,14:00,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,HOSPITAL,,
Universidad Católica de Colombia,Bogotá,Bogotá D.C.,Diagonal 46A #15B-12,"Alimentos no perecederos, aseo, colchonetas",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,UNIVERSIDAD,4.634584,-74.068954
Fundación Universitaria Horizonte,Bogotá,Bogotá D.C.,Calle 69 #14-30,"Alimentos no perecederos, aseo, colchonetas",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,FUNDACION PRIVADA,4.656111,-74.06311
Plazoleta Jairo Varela,Cali,Valle del Cauca,Plazoleta Jairo Varela,"Agua, guantes de construcción, gafas de seguridad, cascos, colchonetas",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,agosto 14,ESPACIO PUBLICO,3.455020,-76.534800
