NOMBRE,CIUDAD O MUNICIPIO,DEPARTAMENTO,DIRECCION,NECESIDAD,HORARIO ABRE,HORARIO CIERRE,TODOS LOS DIAS O LV,REQUIERE VOLUNTARIOS,CONTACTO
Cruz Roja - Samu Sur,Bogotá,Bogotá D.C.,Avenida Carrera 68 #31-41 sur,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",,,,,
Cruz Roja - Samu Norte,Bogotá,Bogotá D.C.,Calle 134 - Carrera 7B Bis #132-31,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",,,,,
Cruz Roja - Centro de Salvamento Acuático,Bogotá,Bogotá D.C.,Avenida La Esmeralda #63-81,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",,,,,
Cruz Roja - Sede administrativa,Bogotá,Bogotá D.C.,Carrera 24 #73-38,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",,,,,
Cruz Roja - Bodega,Bogotá,Bogotá D.C.,Diagonal 79B #62-53,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",,,,,
Cruz Roja - Palacio de los Deportes,Bogotá,Bogotá D.C.,Calle 63 #59A-06,"Agua potable, alimentos no perecederos, cobijas, colchonetas, aseo personal",,,,,
Fundación Universitaria Juan N. Corpas,Bogotá,Bogotá D.C.,Carrera 111 No. 159A-61,"Alimentos no perecederos, aseo, colchonetas",,14:00,,,
Universidad Católica de Colombia,Bogotá,Bogotá D.C.,Diagonal 46A #15B-12,"Alimentos no perecederos, aseo, colchonetas",,,,,
Fundación Universitaria Horizonte,Bogotá,Bogotá D.C.,Calle 69 #14-30,"Alimentos no perecederos, aseo, colchonetas",,,,,
Plazoleta Jairo Varela,Cali,Valle del Cauca,Plazoleta Jairo Varela,"Agua, guantes de construcción, gafas de seguridad, cascos, colchonetas",,,,,
Banco de Alimentos de Cali,Cali,Valle del Cauca,Calle 24 #6-103,"Alimentos no perecederos, agua embotellada, primeros auxilios",,,,,
Fundación Banco Arquidiocesano de Alimentos,Medellín,Antioquia,Carrera 52 #30A-97,"Alimentos no perecederos, aseo, colchonetas, ropa, mantas",,,,,
Fundación Saciar,Medellín,Antioquia,Carrera 50 #25-261,"Alimentos no perecederos, aseo, colchonetas, ropa, mantas",,,,,
Centro de acopio Barranquillita,Barranquilla,Atlántico,Carrera 43 #6-120,"Alimentos no perecederos, agua, insumos médicos, aseo, artículos para bebés, ropa, colchonetas",00:00,23:59,Todos los días,,
Canchas auxiliares - Bomberos Palogrande,Manizales,Caldas,Junto a la estación de Bomberos Palogrande,"Alimentos no perecederos, agua, aseo",,,,,
Hemocentro del Café,Manizales,Caldas,Hemocentro del Café,Donación de sangre (prioridad O+ y O-),12:30,,,,
