NOMBRE,CIUDAD O MUNICIPIO,DEPARTAMENTO,DIRECCION,NECESIDAD,HORARIO ABRE,HORARIO CIERRE,TODOS LOS DIAS O LV,REQUIERE VOLUNTARIOS,CONTACTO,TELEFONO,ULTIMA REVISION,TIPO DE LUGAR,LATITUD,LONGITUD
Carrera 50#114sur-140,Caldas,Antioquia,Carrera 50#114sur-140,Agua · Guantes de obra · Gafas de seguridad · Tapabocas · Linternas · Palas · Picas · Barras de demolición · Carpas · Colchonetas · Pañales · Comida para animales,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,6.10352,-75.63635
Club rotario Itagüí,Itagüí,Antioquia,Club rotario Itagüí,Agua · Comida · Guantes de obra · Gafas de seguridad · Tapabocas · Linternas · Palas · Porras · Barras de demolición · Percutores · Discos de pulidora · Cinceles · Seguetas · Baldes · Costales · Cinta,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,6.168732,-75.612305
7 MESAS - CARRERA 81 #33AA-08,Medellín,Antioquia,7 MESAS - CARRERA 81 #33AA-08,Agua · Comida · Guantes de obra · Gafas de seguridad · Linternas · Palas · Picas · Percutores · Porras · Barras de demolición · Cinceles · Seguetas · Baldes · Costales · Cintas de seguridad · Colchone,SIN DATO,SIN DATO,SIN DATO,SI,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,6.240166,-75.603023
Bodega punto de ACOPIO y recoleccion,Medellín,Antioquia,calle 14 #52a-304 cerca al olaya herrera,alimentos no perecederos · medicamentos,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,6.218844,-75.584511
CALLE 7SUR #51A-02 GUAYABAL,Medellín,Antioquia,CALLE 7SUR #51A-02 GUAYABAL,Agua · Comida · Guantes de obra · Gafas de seguridad · Tapabocas · Linternas · Palas · Picas · Discos de pulidora · Percutores · Barras de demolición · Porras · Cinceles · Seguetas · Baldes · Costales,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,6.202439,-75.586013
CANCHA SOCCER Y PADEL cola del zorro,Medellín,Antioquia,CANCHA SOCCER Y PADEL cola del zorro,Agua · Comida · Guantes de obra · Gafas de seguridad · Tapabocas · Linternas · Palas · Picas · Porras · Barras de demolición · Percutores · Discos de pulidora · Cinceles · Seguetas · Baldes · Costales,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,6.207775,-75.550318
Corporacion trasescena carrera 40 #47-65,Medellín,Antioquia,Corporacion trasescena carrera 40 #47-65,Voluntarios · Guantes de obra · Gafas de seguridad · Tapabocas · Linternas · Palas · Picas · Porras · Barras de demolición · Percutores · Discos de pulidora · Cinceles · Seguetas · Baldes · Costales ·,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,6.243704,-75.561723
edificio porton del laurel carera 80 #34b-30 apto 601,Medellín,Antioquia,edificio porton del laurel carera 80 #34b-30 apto 601,Guantes de obra · Gafas de seguridad · Tapabocas · Linternas · Cintas de seguridad · Electrolitos · Botiquín · Tapers · Carpas · Colchonetas · Pañales · Comida para animales,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,6.240725,-75.602735
Inversiones acosta S.A.S,Medellín,Antioquia,calle 30a #72a 60,Linternas · Botiquín · Electrolitos · Tapers · Pañales · Comida para animales · Guantes de obra · Gafas de seguridad · Tapabocas · Cintas de seguridad · Colchonetas · Carpas · implementos de cocina,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,6.232326,-75.593429
LATIN LOVER,Medellín,Antioquia,Tienda LATIN LOVER carrera 32d #9-29,Guantes de obra · Gafas de seguridad · Tapabocas · Linternas · Palas · Picas · Porras · Barras de demolición · Percutores · Discos de pulidora · Cinceles · Seguetas · Baldes · Costales · Cintas de seg,SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,,PUNTO DE ACOPIO,6.207778,-75.564131
