NOMBRE,CIUDAD O MUNICIPIO,DEPARTAMENTO,DIRECCION,NECESIDAD,HORARIO ABRE,HORARIO CIERRE,TODOS LOS DIAS O LV,REQUIERE VOLUNTARIOS,CONTACTO,TELEFONO,ULTIMA REVISION,TIPO DE LUGAR
Café Consota,Pereira,Risaralda,Mz 7 y Mz 8 Villa Consota Cuba,"Ropa en buen estado, aseo personal, cobijas, colchonetas, comida para perros y gatos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,SIN DATO,SEDE COMUNITARIA
Café Perla del Otún,Pereira,Risaralda,Diagonal a la iglesia de los 2.500 lotes,"Ropa en buen estado, aseo personal, cobijas, colchonetas, comida para perros y gatos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,SIN DATO,SEDE COMUNITARIA
Café El Remanso,Pereira,Risaralda,"Avenida principal barrio El Remanso, al lado del centro de salud","Ropa en buen estado, aseo personal, cobijas, colchonetas, comida para perros y gatos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,SIN DATO,SEDE COMUNITARIA
Café Kennedy,Pereira,Risaralda,Parque principal de Kennedy,"Ropa en buen estado, aseo personal, cobijas, colchonetas, comida para perros y gatos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,SIN DATO,SEDE COMUNITARIA
Café Ormanza,Pereira,Risaralda,Calle 3 bis # 5-38 avenida del Río,"Ropa en buen estado, aseo personal, cobijas, colchonetas, comida para perros y gatos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,SIN DATO,SEDE COMUNITARIA
Café San Nicolás,Pereira,Risaralda,Carrera 14 bis # 28-38 antigua estación de Policía,"Ropa en buen estado, aseo personal, cobijas, colchonetas, comida para perros y gatos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,SIN DATO,SEDE COMUNITARIA
Café Comuna del Café,Pereira,Risaralda,Carrera 3 calle 59 A sector A Parque Industrial,"Ropa en buen estado, aseo personal, cobijas, colchonetas, comida para perros y gatos",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,SIN DATO,SEDE COMUNITARIA
Coliseo de Hockey Miguel Calero,Cali,Valle del Cauca,Coliseo de Hockey Miguel Calero,"Guantes de construcción, gafas de seguridad, cascos, agua, colchonetas",SIN DATO,SIN DATO,SIN DATO,NO,SIN DATO,SIN DATO,SIN DATO,ESPACIO PUBLICO
Banco de sangre Hospital Universitario del Valle,Cali,Valle del Cauca,Calle 5 # 36-08 (urgencias HUV),Donación de sangre,08:00,18:00,Todos los días,NO,SIN DATO,SIN DATO,SIN DATO,BANCO DE SANGRE
Banco de sangre Hemolife,Cali,Valle del Cauca,Calle 38 N # 3N-21 Prados del Norte,Donación de sangre,08:00,18:00,Todos los días,NO,SIN DATO,SIN DATO,SIN DATO,BANCO DE SANGRE
