rank,nombre,partido,fuente,cepeda_pct,cepeda_ic,abelardo_pct,abelardo_ic,resto_pct,resto_ic,naive_cep,naive_abe,naive_res,votos_lista,nota
1,María Fernanda Carrascal Rojas,Pacto Histórico,pacto,73.4,71-76,13.2,11-15,13.4,13-14,45.4,34.3,20.4,924229,lista cerrada · perfil compartido (8 electos)
2,Daniel Mauricio Monroy Hernández,Pacto Histórico,pacto,73.4,71-76,13.2,11-15,13.4,13-14,45.4,34.3,20.4,924229,lista cerrada · perfil compartido (8 electos)
3,Laura Daniela Beltrán Palomares,Pacto Histórico,pacto,73.4,71-76,13.2,11-15,13.4,13-14,45.4,34.3,20.4,924229,lista cerrada · perfil compartido (8 electos)
4,Heráclito Landínez Suárez,Pacto Histórico,pacto,73.4,71-76,13.2,11-15,13.4,13-14,45.4,34.3,20.4,924229,lista cerrada · perfil compartido (8 electos)
5,María del Mar Pizarro García,Pacto Histórico,pacto,73.4,71-76,13.2,11-15,13.4,13-14,45.4,34.3,20.4,924229,lista cerrada · perfil compartido (8 electos)
6,Jairo León Vargas,Pacto Histórico,pacto,73.4,71-76,13.2,11-15,13.4,13-14,45.4,34.3,20.4,924229,lista cerrada · perfil compartido (8 electos)
7,Claudia Teresa Romero Nader,Pacto Histórico,pacto,73.4,71-76,13.2,11-15,13.4,13-14,45.4,34.3,20.4,924229,lista cerrada · perfil compartido (8 electos)
8,Gabriel Becerra Yañez,Pacto Histórico,pacto,73.4,71-76,13.2,11-15,13.4,13-14,45.4,34.3,20.4,924229,lista cerrada · perfil compartido (8 electos)
9,Daniel Briceño,Centro Democrático,briceno,14.0,11-18,57.6,55-61,28.4,27-29,29.6,46.0,24.4,262469,
10,José Jaime Uscátegui,Centro Democrático,cd_resto,20.5,18-24,53.4,51-56,26.0,25-27,36.4,41.2,22.5,425766,bloque resto-CD · no separable individualmente
11,David Cote,Centro Democrático,cd_resto,20.5,18-24,53.4,51-56,26.0,25-27,36.4,41.2,22.5,425766,bloque resto-CD · no separable individualmente
12,Nelly Patricia Mosquera,Centro Democrático,cd_resto,20.5,18-24,53.4,51-56,26.0,25-27,36.4,41.2,22.5,425766,bloque resto-CD · no separable individualmente
13,Jesús Salim Lorduy,Centro Democrático,cd_resto,20.5,18-24,53.4,51-56,26.0,25-27,36.4,41.2,22.5,425766,bloque resto-CD · no separable individualmente
14,Luz Marina Gordillo,Centro Democrático,cd_resto,20.5,18-24,53.4,51-56,26.0,25-27,36.4,41.2,22.5,425766,bloque resto-CD · no separable individualmente
15,Catherine Juvinao,Alianza Verde,verde,35.7,35-36,41.2,41-42,23.1,23-23,39.1,38.8,22.1,243422,lista Verde · perfil compartido (2 electos)
16,Mauricio Toro,Alianza Verde,verde,35.7,35-36,41.2,41-42,23.1,23-23,39.1,38.8,22.1,243422,lista Verde · perfil compartido (2 electos)
17,Bleidy Pérez Ballestas,Partido Liberal,liberal,41.9,42-42,36.9,37-37,21.2,21-21,41.8,36.9,21.2,112099,
18,Carol Borda,Salvación Nacional,salvacion,33.7,33-35,43.3,43-44,23.0,23-23,37.3,40.5,22.2,187997,
