rank,senador,lista,partido,cepeda_pct,cepeda_ic,abelardo_pct,abelardo_ic,resto_pct,resto_ic,votos_lista_senado
1,Carlos E. Guevara,Senado · Ahora Colombia,MIRA · Dignidad,35.0,34-36,41.5,41-42,23.4,23-24,194306
2,Andrea Padilla,Senado · Alianza por Colombia,Alianza Verde/coalición,37.0,36-38,40.2,40-41,22.8,23-23,357279
3,Enrique Gómez,Senado · Salvación Nacional,Salvación Nacional,31.1,30-32,45.2,44-46,23.7,23-24,196583
4,Sara Castellanos,Senado · Salvación Nacional,Salvación Nacional,31.1,30-32,45.2,44-46,23.7,23-24,196583
5,Jennifer Pedraza,Senado · Ahora Colombia,MIRA · Dignidad,35.0,34-36,41.5,41-42,23.4,23-24,194306
6,Gersson Vargas,Senado · Partido Liberal,Partido Liberal,41.7,41-42,37.0,37-37,21.3,21-21,183997
7,Miguel Forero,Senado · Alianza por Colombia,Alianza Verde/coalición,37.0,36-38,40.2,40-41,22.8,23-23,357279
8,Jota Pe Hernández,Senado · Alianza por Colombia,Alianza Verde/coalición,37.0,36-38,40.2,40-41,22.8,23-23,357279
9,Luis Carlos Rúa,Senado · Alianza por Colombia,Alianza Verde/coalición,37.0,36-38,40.2,40-41,22.8,23-23,357279
10,Horacio José Serpa,Senado · Partido Liberal,Partido Liberal,41.7,41-42,37.0,37-37,21.3,21-21,183997
