zz,pp,censo,n_mesas,cam_turnout,briceno,uscategui,cote,mosquera,lorduy,gordillo,juvinao,toro,bleidy,borda,pacto_list,cd,verde,liberal,salvacion,sen_pacto,sen_cd,sen_alianza,sen_ahora,sen_salvacion,sen_liberal,pres_turnout,cepeda,abelardo,m_cam,m_pres
01,01,26307,79,9366,1985,230,48,99,66,41,227,113,65,203,1390,4022,720,321,632,1353,4105,909,619,778,502,11154,2497,5730,79,68
01,02,22087,67,10422,851,144,81,273,63,80,128,66,354,223,2463,2663,735,757,742,2502,2481,1135,662,691,1059,13439,4506,5872,67,59
01,03,9261,28,4642,731,96,45,35,21,17,112,47,34,125,814,1612,412,142,405,825,1509,550,340,483,239,5327,1300,2730,28,24
01,04,13678,41,7132,600,107,57,108,67,32,106,55,53,123,1820,1773,509,248,430,1802,1737,781,482,475,376,8793,2975,3799,41,36
01,05,10817,33,5093,381,62,30,94,36,31,80,35,53,83,1335,1216,419,206,320,1390,1131,639,337,301,335,6451,2309,2693,33,29
01,06,10692,33,5458,420,83,37,71,42,58,94,32,45,100,1399,1366,444,187,365,1422,1330,660,377,332,325,6992,2411,2930,33,28
01,07,11592,35,5483,553,63,43,93,40,29,94,30,64,124,1376,1492,429,209,386,1366,1439,640,339,433,344,7012,2318,3173,35,31
01,08,18823,57,11396,2647,276,53,79,82,44,382,79,61,301,1367,5219,973,297,1039,1275,4988,1198,785,1259,470,12095,1869,7385,57,49
01,09,14080,43,7843,2156,257,35,42,62,37,225,80,32,164,717,4005,576,213,596,672,3975,704,527,774,359,8485,1086,5055,43,36
01,10,12844,39,7850,2083,234,42,60,60,32,210,79,40,178,670,4058,555,215,660,638,3949,637,564,846,324,8119,942,5169,39,33
01,11,11723,36,5992,1595,220,22,39,44,14,134,57,22,121,571,2992,413,151,423,530,2951,561,448,561,277,6703,966,3916,36,30
01,12,27649,83,16347,5078,658,83,114,107,61,430,100,61,363,954,9593,954,416,1248,920,9581,1084,980,1718,590,17369,1471,11644,83,72
01,13,10435,32,6890,2193,215,37,45,67,30,200,63,12,144,326,3971,466,182,486,308,4045,519,460,609,272,7260,557,4719,32,27
01,14,8503,26,5738,1840,190,21,27,46,28,153,30,22,103,288,3326,334,163,366,271,3327,413,383,547,231,5916,429,3722,26,22
01,15,12443,38,7766,2290,434,30,50,48,28,195,72,17,151,483,4428,462,215,456,448,4441,566,617,698,310,8116,750,4937,38,32
01,16,2213,7,884,88,16,6,2,3,1,9,34,2,11,261,221,84,34,47,272,207,99,45,60,52,1233,509,443,7,6
01,17,11635,35,6576,794,98,64,74,37,42,114,42,36,166,1315,2023,515,213,536,1283,1902,736,607,559,375,7771,1968,3899,35,31
01,18,9783,30,6431,1531,185,31,47,49,30,214,82,29,153,758,2945,559,176,534,707,2810,685,446,689,282,6893,1060,4063,30,26
01,19,9478,29,5737,1294,155,39,33,37,34,184,70,23,134,776,2490,522,126,455,749,2356,642,434,530,265,6271,1157,3481,29,25
01,20,7357,23,3429,103,38,19,59,18,11,21,65,38,40,1155,545,294,168,153,1168,532,429,174,144,242,4710,2208,1542,23,20
01,21,4287,13,1804,210,32,15,45,15,9,40,14,4,34,423,534,164,50,138,425,461,196,114,169,102,2325,727,1091,13,12
01,22,8879,27,5767,1519,230,23,28,48,18,171,73,29,121,496,2812,453,172,358,468,2757,535,540,475,297,7530,983,4205,27,27
01,23,8739,27,6295,1822,228,29,37,49,25,151,60,30,140,493,3225,421,155,476,453,3073,579,530,656,236,9675,1096,5746,27,32
01,24,5057,16,2854,298,37,16,37,14,15,42,29,57,66,690,724,232,134,222,701,654,346,193,232,199,3472,1204,1471,16,14
