salto,anoOrigen,anoDestino,persona,nombre,dep,municipio,origen,partidoOrigen,partidoDestino,mismoPartido,votosOrigen,votosDestino,gap,votosDestinoAmbito,votosDestinoEnOrigen,arraigo,neutro,neutroFuente,lift
concejo>asamblea,2011,2015,SANTIAGO MANUEL MARTINEZ MENDOZA,SANTIAGO MANUEL MARTINEZ MENDOZA,01,01-001,01-001,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,8058,19890,2.4684,19890,7845,0.3944,,,
concejo>asamblea,2011,2015,JORGE LUIS RANGEL BELLO,JORGE LUIS RANGEL BELLO,03,03-001,03-001,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,7199,29208,4.0572,29208,26962,0.9231,,,
concejo>asamblea,2011,2015,JUAN CARLOS GARCES ROJAS,JUAN CARLOS GARCES ROJAS,31,31-001,31-001,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,5966,47443,7.9522,47443,22123,0.4663,,,
concejo>asamblea,2011,2015,EMERSON MENESES GONZALEZ,EMERSON MENESES GONZALEZ,25,25-001,25-001,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,5878,13430,2.2848,13430,8780,0.6538,,,
concejo>asamblea,2011,2015,RUBEN DARIO CALLEJAS GOMEZ,RUBEN DARIO CALLEJAS GOMEZ,01,01-001,01-001,PARTIDO CAMBIO RADICAL,PARTIDO LIBERAL COLOMBIANO,false,5501,33152,6.0265,33152,8199,0.2473,,,
concejo>asamblea,2011,2015,LUIS CARLOS HERNANDEZ CASTRO,LUIS CARLOS HERNANDEZ CASTRO,01,01-001,01-001,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,4616,28218,6.1131,28218,10201,0.3615,,,
concejo>asamblea,2011,2015,MANUEL FELIPE BARRAGAN LOPEZ,MANUEL FELIPE BARRAGAN LOPEZ,31,31-001,31-001,PARTIDO CAMBIO RADICAL,PARTIDO CAMBIO RADICAL,true,4457,5156,1.1568,5156,3111,0.6034,,,
concejo>asamblea,2011,2015,EDGAR SUAREZ GUTIERREZ,EDGAR SUAREZ GUTIERREZ,27,27-001,27-001,PARTIDO CAMBIO RADICAL,PARTIDO CAMBIO RADICAL,true,4325,22610,5.2277,22610,10807,0.478,,,
concejo>asamblea,2011,2015,REINALDO MANUEL PENA LOPEZ,REINALDO MANUEL PENA LOPEZ,13,13-001,13-001,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,4135,19496,4.7149,19496,9902,0.5079,,,
concejo>asamblea,2011,2015,BRAULIO ALONSO ESPINOSA MARQUEZ,BRAULIO ALONSO ESPINOSA MARQUEZ,01,01-121,01-121,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,3502,40600,11.5934,40600,19151,0.4717,,,
