salto,anoOrigen,anoDestino,persona,nombre,dep,municipio,origen,partidoOrigen,partidoDestino,mismoPartido,votosOrigen,votosDestino,gap,votosDestinoAmbito,votosDestinoEnOrigen,arraigo,neutro,neutroFuente,lift
alcaldia>gobernacion,2011,2015,JUAN ALBERTO GARCIA ESTRADA,JUAN ALBERTO GARCIA ESTRADA,03,03-001,03-001,FIRME CON BARRANQUILLA,FIRME CON JUAN A LA GOBERNACIÓN,false,113263,123625,1.0915,123625,89684,0.7255,,,
alcaldia>gobernacion,2011,2015,JORGE ELIECER CORAL RIVAS,JORGE ELIECER CORAL RIVAS,64,64-002,64-002,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,9455,32847,3.474,32847,8120,0.2472,,,
alcaldia>gobernacion,2011,2015,ONEIDA RAYETH PINTO PEREZ,ONEIDA RAYETH PINTO PEREZ,48,48-002,48-002,PARTIDO CAMBIO RADICAL,PARTIDO CAMBIO RADICAL,true,8423,182482,21.6647,182482,7099,0.0389,,,
alcaldia>gobernacion,2011,2015,NICOLAS REINEL PICON BARRERA,NICOLAS REINEL PICON BARRERA,13,13-025,13-025,PARTIDO VERDE,PARTIDO ALIANZA VERDE,false,179,14660,81.8994,14660,3717,0.2535,,,
alcaldia>gobernacion,2015,2019,NEMESIO RAUL ROYS GARZON,NEMESIO RAUL ROYS GARZON,48,48-001,48-001,PARTIDO CONSERVADOR COLOMBIANO - PARTIDO DE LA U,PARTIDO CONSERVADOR COLOMBIANO - PARTIDO DE LA U  - COLOMBIA RENACIENTE - CAMBIO RADICAL,false,13435,149846,11.1534,149846,35071,0.234,,,
alcaldia>gobernacion,2015,2019,JOHAN FERNANDO CARDOZO MORENO,JOHAN FERNANDO CARDOZO MORENO,68,68-001,68-001,PARTIDO DE LA U,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,false,2886,2063,0.7148,2063,1823,0.8837,,,
alcaldia>gobernacion,2015,2019,HUGO ALEJANDRO VASQUEZ VARGAS,HUGO ALEJANDRO VASQUEZ VARGAS,12,12-075,12-075,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,true,750,19080,25.44,19080,13238,0.6938,,,
alcaldia>gobernacion,2019,2023,YOLANDA WONG BALDIRIS,YOLANDA WONG BALDIRIS,05,05-001,05-001,PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U,PARTIDO DEMÓCRATA COLOMBIANO,false,44865,41588,0.927,41588,24259,0.5833,0.2922,bloque,1.996
alcaldia>gobernacion,2019,2023,MARIO ALBERTO FERNANDEZ ALCOCER,MARIO ALBERTO FERNANDEZ ALCOCER,28,28-001,28-001,PARTIDO LIBERAL COLOMBIANO,AGRUPACIÓN POLÍTICA EN MARCHA,false,39585,202176,5.1074,202176,58663,0.2902,0.3105,partido,0.9346
alcaldia>gobernacion,2019,2023,JIMMY RAHALL BOSCAN TORRES,JIMMY RAHALL BOSCAN TORRES,48,48-010,48-010,PARTIDO CONSERVADOR COLOMBIANO - CENTRO DEMOCRATICO - PARTIDO DE LA U,UNIDOS POR LA GUAJIRA,false,15495,90759,5.8573,90759,34206,0.3769,0.1837,participacion,2.0522
alcaldia>gobernacion,2019,2023,JOSE LUIS SILVA VALENCIA,JOSE LUIS SILVA VALENCIA,52,52-001,52-001,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,PARTIDO DEMÓCRATA COLOMBIANO,false,12521,1508,0.1204,1508,1098,0.7281,0.4462,bloque,1.6316
alcaldia>gobernacion,2019,2023,MANUEL ALEXANDER PEREZ RUEDA,MANUEL ALEXANDER PEREZ RUEDA,40,40-005,40-005,PARTIDO CENTRO DEMOCRATICO,PARTIDO CENTRO DEMOCRÁTICO,true,6958,40754,5.8571,40754,12207,0.2995,0.2641,partido,1.1343
alcaldia>gobernacion,2019,2023,JORGE OCTAVIO GUZMAN GUTIERREZ,JORGE OCTAVIO GUZMAN GUTIERREZ,11,11-040,11-040,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,LA FUERZA DEL PUEBLO,false,5231,176271,33.6974,176271,5481,0.0311,0.0166,participacion,1.8686
alcaldia>gobernacion,2019,2023,WILDER NAVARRO QUINTERO,WILDER NAVARRO QUINTERO,48,48-001,48-001,RIOHACHA PUEDE,PACTO HISTORICO,false,3338,7566,2.2666,7566,2801,0.3702,0.3714,partido,0.9968
alcaldia>gobernacion,2019,2023,JORGE RICARDO PARRA SEPULVEDA,JORGE RICARDO PARRA SEPULVEDA,26,26-090,26-090,UNIDOS POR SALENTO,ALIANZA POR EL PROGRESO,false,1811,73568,40.6229,73568,1520,0.0207,0.0153,participacion,1.3534
alcaldia>gobernacion,2019,2023,JUAN PABLO JIMENEZ CAMACHO,JUAN PABLO JIMENEZ CAMACHO,40,40-025,40-025,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO LIGA GOBERNANTES ANTICORRUPCIÓN - LIGA,false,1225,2556,2.0865,2556,1821,0.7124,0.049,bloque,14.5281
alcaldia>gobernacion,2019,2023,OSCAR GUILLERMO SININNG DE ANGEL,OSCAR GUILLERMO SININNG DE ANGEL,21,21-052,21-052,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,INDEPENDIENTES,false,707,1721,2.4342,1721,434,0.2522,0.0428,participacion,5.8936
alcaldia>gobernacion,2019,2023,MAURICIO ALBERTO LANDAZABAL SUAZA,MAURICIO ALBERTO LANDAZABAL SUAZA,07,07-067,07-067,"PARTIDO DE REIVINDICACION ETNICA ""PRE""",PARTIDO POLÍTICO CREEMOS,false,13,1364,104.9231,1364,106,0.0777,0.0686,bloque,1.1334
