salto,anoOrigen,anoDestino,persona,nombre,dep,municipio,origen,partidoOrigen,partidoDestino,mismoPartido,votosOrigen,votosDestino,gap,votosDestinoAmbito,votosDestinoEnOrigen,arraigo,neutro,neutroFuente,lift
jal>concejo,2011,2015,JESUS EDUARDO GIL YAYA,JESUS EDUARDO GIL YAYA,16,16-001,08,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,5294,12953,2.4467,12953,5113,0.3947,,,
jal>concejo,2011,2015,OLGA LUCIA SERRANO FALLA,OLGA LUCIA SERRANO FALLA,16,16-001,01,PARTIDO VERDE,PARTIDO ALIANZA VERDE,false,5233,4571,0.8735,4571,1646,0.3601,,,
jal>concejo,2011,2015,JOSE YAMID SANMIGUEL,JOSE YAMID SANMIGUEL,16,16-001,11,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,4635,3861,0.833,3861,2471,0.64,,,
jal>concejo,2011,2015,ANGELO GIOVANNY GRAVIER SANTANA,ANGELO GIOVANNY GRAVIER SANTANA,16,16-001,08,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,3951,9336,2.3629,9336,2699,0.2891,,,
jal>concejo,2011,2015,GLORIA EUGENIA ORAMAS BAUTISTA,GLORIA EUGENIA ORAMAS BAUTISTA,16,16-001,13,PROGRESISTAS,MOVIMIENTO SIGNIFICATIVO DE CIUDADANOS PROGRESISTAS,false,3375,3223,0.955,3223,348,0.108,,,
jal>concejo,2011,2015,PEDRO JULIAN LOPEZ SIERRA,PEDRO JULIAN LOPEZ SIERRA,16,16-001,01,PARTIDO CAMBIO RADICAL,PARTIDO CAMBIO RADICAL,true,3146,16163,5.1376,16163,2814,0.1741,,,
jal>concejo,2011,2015,JORGE ALFONSO USECHE CORREA,JORGE ALFONSO USECHE CORREA,05,05-001,01,PARTIDO CONSERVADOR COLOMBIANO,PARTIDO CONSERVADOR COLOMBIANO,true,2633,4641,1.7626,4641,2839,0.6117,,,
jal>concejo,2011,2015,DAGOBERTO MACIAS CABRERA,DAGOBERTO MACIAS CABRERA,05,05-001,01,PARTIDO CAMBIO RADICAL,PARTIDO CAMBIO RADICAL,true,2508,4357,1.7372,4357,2814,0.6459,,,
jal>concejo,2011,2015,ROLANDO ALBERTO GONZALEZ GARCIA,ROLANDO ALBERTO GONZALEZ GARCIA,16,16-001,02,PARTIDO CAMBIO RADICAL,PARTIDO CAMBIO RADICAL,true,1837,14652,7.976,14652,996,0.068,,,
jal>concejo,2011,2015,EDGAR ENRIQUE RAMIREZ CARDENAS,EDGAR ENRIQUE RAMIREZ CARDENAS,25,25-001,01,PARTIDO VERDE,PARTIDO ALIANZA VERDE,false,1830,525,0.2869,525,105,0.2,,,
jal>concejo,2011,2015,JOSE ANGEL ESPELETA GUERRERO,JOSE ANGEL ESPELETA GUERRERO,16,16-001,04,PARTIDO SOCIAL DE UNIDAD NACIONAL,PARTIDO DE LA U,false,1766,5578,3.1586,5578,2593,0.4649,,,
jal>concejo,2011,2015,JAIRO GOMEZ RAMOS,JAIRO GOMEZ RAMOS,16,16-001,18,PARTIDO VERDE,PARTIDO ALIANZA VERDE,false,1762,7283,4.1334,7283,3381,0.4642,,,
jal>concejo,2011,2015,JOSE IGNACIO GUTIERREZ BOLIVAR,JOSE IGNACIO GUTIERREZ BOLIVAR,16,16-001,04,PARTIDO CAMBIO RADICAL,PARTIDO CAMBIO RADICAL,true,1759,6119,3.4787,6119,2184,0.3569,,,
jal>concejo,2011,2015,NELSON GILBERTO VELASCO RUGE,NELSON GILBERTO VELASCO RUGE,16,16-001,05,POLO DEMOCRÁTICO ALTERNATIVO,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO,true,1742,7024,4.0321,7024,2542,0.3619,,,
jal>concejo,2011,2015,GERMAN RICAURTE CAMARGO,GERMAN RICAURTE CAMARGO,16,16-001,02,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,1730,7587,4.3855,7587,888,0.117,,,
jal>concejo,2011,2015,PASTOR RODRIGUEZ QUIJANO,PASTOR RODRIGUEZ QUIJANO,16,16-001,01,PARTIDO VERDE,PARTIDO ALIANZA VERDE,false,1722,1395,0.8101,1395,230,0.1649,,,
jal>concejo,2011,2015,ANGEL MARIA RIVERA GIRALDO,ANGEL MARIA RIVERA GIRALDO,27,27-019,03,POLO DEMOCRÁTICO ALTERNATIVO,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO,true,1682,141,0.0838,141,13,0.0922,,,
jal>concejo,2011,2015,GABRIEL ALBERTO MEDRANO ROMERO,GABRIEL ALBERTO MEDRANO ROMERO,05,05-001,03,PARTIDO LIBERAL COLOMBIANO,PARTIDO LIBERAL COLOMBIANO,true,1639,3057,1.8652,3057,1303,0.4262,,,
