cod,depto,municipio,cep1v,abe1v,margen1v,cep2v,abe2v,margen2v,delta_margen,share_abe2v_pct,share_abe_esperado_pct,over_pp,over_votos,votant1v,votant2v,delta_votant,matched
01004,Antioquia,ABEJORRAL,924,4191,3267,1407,7216,5809,2542,83.68,83.22,0.46,39,7590,8879,1289,1
01007,Antioquia,ABRIAQUI,102,592,490,170,1011,841,351,85.61,87.72,-2.12,-25,1097,1214,117,1
01010,Antioquia,ALEJANDRIA,389,1811,1422,504,2450,1946,524,82.94,82.3,0.63,18,2760,3024,264,1
01013,Antioquia,AMAGA,3882,6531,2649,5478,8746,3268,619,61.49,64.25,-2.76,-392,13229,14691,1462,1
01016,Antioquia,AMALFI,1140,4087,2947,2147,6352,4205,1258,74.74,77.41,-2.68,-227,6760,9017,2257,1
01019,Antioquia,ANDES,2566,10148,7582,3773,15574,11801,4219,80.5,82.01,-1.51,-292,17719,19847,2128,1
01022,Antioquia,ANGELOPOLIS,544,1619,1075,835,2365,1530,455,73.91,76.22,-2.32,-74,2955,3318,363,1
01025,Antioquia,ANGOSTURA,559,1816,1257,1907,3959,2052,795,67.49,77.94,-10.45,-612,3667,6544,2877,1
01028,Antioquia,ANORI,1275,1811,536,3849,2820,-1029,-1565,42.29,60.4,-18.11,-1208,3813,7208,3395,1
01031,Antioquia,ANTIOQUIA,3261,5907,2646,4482,8535,4053,1407,65.57,67.42,-1.85,-240,12290,13524,1234,1
01034,Antioquia,ANZA,400,1811,1411,582,2837,2255,844,82.98,83.35,-0.38,-12,2953,3516,563,1
01035,Antioquia,APARTADO,32102,16661,-15441,41593,19891,-21702,-6261,32.35,36.27,-3.92,-2411,54916,63034,8118,1
01037,Antioquia,ARBOLETES,4120,4837,717,5318,6990,1672,955,56.79,55.49,1.3,159,9852,12504,2652,1
01039,Antioquia,ARGELIA,334,1946,1612,444,3006,2562,950,87.13,86.77,0.36,12,3202,3518,316,1
01040,Antioquia,ARMENIA,400,1311,911,544,1923,1379,468,77.95,79.38,-1.44,-35,2305,2521,216,1
01043,Antioquia,BARBOSA,6929,11617,4688,9313,15604,6291,1603,62.62,64.64,-2.02,-503,24555,26058,1503,1
01049,Antioquia,BELLO,63055,116690,53635,87019,144162,57143,3508,62.36,64.5,-2.14,-4948,228294,239132,10838,1
01046,Antioquia,BELMIRA,351,1611,1260,516,2509,1993,733,82.94,81.49,1.45,43,2771,3144,373,1
01052,Antioquia,BETANIA,494,2365,1871,704,3415,2711,840,82.91,83.18,-0.27,-11,3661,4217,556,1
01055,Antioquia,BETULIA,605,3581,2976,858,5607,4749,1773,86.73,86.49,0.24,15,5703,6637,934,1
01058,Antioquia,BOLIVAR,1642,7523,5881,2358,10287,7929,2048,81.35,83.18,-1.83,-231,11908,12964,1056,1
01062,Antioquia,BRICEÑO,437,1022,585,761,1588,827,242,67.6,71.04,-3.44,-80,1888,2487,599,1
01061,Antioquia,BURITICA,1075,1749,674,1469,2713,1244,570,64.87,64.84,0.03,1,3527,4322,795,1
01064,Antioquia,CACERES,3635,2099,-1536,5764,2806,-2958,-1422,32.74,38.91,-6.16,-528,6491,8800,2309,1
01067,Antioquia,CAICEDO,493,1363,870,765,2788,2023,1153,78.47,78.76,-0.29,-10,3096,3689,593,1
01070,Antioquia,CALDAS,13435,22385,8950,18478,28848,10370,1420,60.96,62.39,-1.43,-676,47528,49444,1916,1
01073,Antioquia,CAMPAMENTO,426,1131,705,2136,2227,91,-614,51.04,73.49,-22.45,-979,2074,4717,2643,1
01078,Antioquia,CARACOLI,445,1129,684,597,1658,1061,377,73.53,74.12,-0.6,-13,1991,2312,321,1
01079,Antioquia,CARAMANTA,387,1168,781,576,2152,1576,795,78.89,79.85,-0.96,-26,2420,2802,382,1
01080,Antioquia,CAREPA,12538,7089,-5449,16044,9119,-6925,-1476,36.24,38.78,-2.54,-638,22386,25857,3471,1
01082,Antioquia,CARMEN DE VIBORAL,7719,19259,11540,10601,23928,13327,1787,69.3,70.38,-1.08,-373,34724,35645,921,1
01085,Antioquia,CAROLINA,483,1350,867,672,1883,1211,344,73.7,74.41,-0.72,-18,2402,2630,228,1
01088,Antioquia,CAUCASIA,18877,14390,-4487,24556,17048,-7508,-3021,40.98,44.59,-3.61,-1503,37632,42817,5185,1
01076,Antioquia,CAÑASGORDAS,1044,4258,3214,1483,6839,5356,2142,82.18,83.52,-1.34,-111,7586,8511,925,1
01106,Antioquia,CHIGORODO,13171,8393,-4778,17140,10458,-6682,-1904,37.89,41.16,-3.27,-901,24689,28341,3652,1
01091,Antioquia,CISNEROS,1639,3523,1884,2267,4575,2308,424,66.87,70.09,-3.22,-220,6693,7093,400,1
01094,Antioquia,COCORNA,1017,5912,4895,1360,7935,6575,1680,85.37,85.45,-0.08,-7,8811,9522,711,1
01097,Antioquia,CONCEPCION,278,1902,1624,372,2546,2174,550,87.25,86.37,0.89,25,2761,2996,235,1
01100,Antioquia,CONCORDIA,901,4234,3333,1298,6379,5081,1748,83.09,83.76,-0.67,-51,6872,7906,1034,1
01103,Antioquia,COPACABANA,13240,23129,9889,18110,28709,10599,710,61.32,63.12,-1.8,-841,46373,48462,2089,1
01109,Antioquia,DABEIBA,2923,3711,788,4544,5194,650,-138,53.34,58.36,-5.02,-488,7842,9999,2157,1
01112,Antioquia,DON MATIAS,1263,6501,5238,1841,8160,6319,1081,81.59,82.59,-1.0,-99,9894,10362,468,1
01115,Antioquia,EBEJICO,946,3233,2287,1206,5020,3814,1527,80.63,79.49,1.14,71,5640,6396,756,1
01117,Antioquia,EL BAGRE,6230,5608,-622,10709,7847,-2862,-2240,42.29,49.4,-7.11,-1320,13919,19252,5333,1
01118,Antioquia,ENTRERRIOS,775,3765,2990,1154,4749,3595,605,80.45,80.58,-0.13,-7,5842,6111,269,1
